epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.433,1.09014,2.36039,3.06252,1.24013,0.87188,0.15131,0.48687,0.33492,0.87188,0.15131,0.46638,0.3135,1.18401,4.91767,3.96815,1.46742,0.000648148,0.000648148,0.000648148
2,19.6072,1.03348,1.89169,2.47526,1.15015,0.65261,0.07407,0.30707,0.20342,0.65261,0.07407,0.28182,0.1771,1.30086,6.03083,4.22658,1.5309,0.0013018,0.0013018,0.0013018
3,26.4454,1.18434,2.29826,2.16423,1.25616,0.36565,0.25926,0.26095,0.11938,0.5111,0.18519,0.1735,0.06785,1.82936,16.924,3.65584,2.20136,0.00194225,0.00194225,0.00194225
4,33.1005,1.14175,1.92879,1.90888,1.23426,0.01453,0.00741,0.00192,0.0006,0.01453,0.00741,0.00056,0.0002,3.53267,33.4926,4.51602,4.86702,0.0019406,0.0019406,0.0019406
5,39.7698,1.10909,1.86154,1.68436,1.19054,0.54837,0.6,0.54936,0.32652,0.54907,0.59259,0.53736,0.27323,1.2532,2.91065,2.97825,1.4807,0.0019208,0.0019208,0.0019208
6,46.4195,1.11133,1.80108,1.5039,1.19398,0.52139,0.5568,0.46178,0.29598,0.56198,0.47407,0.42703,0.26793,1.24342,3.79784,3.37489,1.52375,0.001901,0.001901,0.001901
7,53.0777,1.1248,1.84576,1.55585,1.20625,0.62762,0.71852,0.61537,0.41759,0.60474,0.71401,0.57894,0.38156,1.19411,3.39603,1.67049,1.45517,0.0018812,0.0018812,0.0018812
8,59.7648,1.03822,1.83876,1.42001,1.13651,0.68905,0.67301,0.65311,0.43352,0.68092,0.66391,0.61161,0.38932,1.12261,3.0333,1.99882,1.32074,0.0018614,0.0018614,0.0018614
9,66.5815,1.02548,1.72524,1.2454,1.14712,0.51872,0.42222,0.46058,0.30735,0.47772,0.42963,0.43227,0.24085,1.22069,3.76132,2.16786,1.46601,0.0018416,0.0018416,0.0018416
10,73.2635,1.02311,1.72409,1.21429,1.15632,0.68256,0.76296,0.72557,0.48722,0.72574,0.66644,0.64673,0.36371,1.13246,2.90818,1.56849,1.29829,0.0018218,0.0018218,0.0018218
11,79.9847,0.99464,1.68504,1.15124,1.14362,0.81793,0.76536,0.78077,0.56417,0.81039,0.75986,0.77178,0.50514,0.95192,2.22514,1.21043,1.20723,0.001802,0.001802,0.001802
12,86.7753,0.95187,1.59888,1.19227,1.08623,0.80346,0.74815,0.78028,0.56894,0.80346,0.74815,0.76859,0.54042,0.95854,2.15736,1.05973,1.17625,0.0017822,0.0017822,0.0017822
13,93.4639,0.98158,1.68236,1.11894,1.12062,0.8034,0.84758,0.80969,0.60761,0.78286,0.82789,0.76748,0.51065,0.97576,2.53578,1.17476,1.25345,0.0017624,0.0017624,0.0017624
14,100.246,0.94175,1.60806,1.04422,1.1052,0.80897,0.83704,0.80228,0.57028,0.79319,0.82222,0.76332,0.5305,1.04675,2.26238,0.94789,1.30586,0.0017426,0.0017426,0.0017426
15,107.147,0.93942,1.65462,1.06657,1.11398,0.78804,0.86667,0.77375,0.5803,0.77457,0.85185,0.736,0.52866,0.94909,2.22863,0.96299,1.19596,0.0017228,0.0017228,0.0017228
16,113.762,0.97165,1.67173,1.14523,1.13868,0.73045,0.8431,0.76722,0.56858,0.74528,0.78023,0.73832,0.52901,1.00311,2.07662,1.05784,1.22115,0.001703,0.001703,0.001703
17,120.224,0.9091,1.5027,1.05002,1.07851,0.70523,0.74435,0.65977,0.49717,0.70336,0.74815,0.65482,0.47066,0.93916,2.23988,1.09164,1.16581,0.0016832,0.0016832,0.0016832
18,126.926,0.89605,1.56897,0.97786,1.0891,0.78675,0.81481,0.77436,0.5901,0.77509,0.79134,0.76476,0.5476,0.88336,2.29036,0.97951,1.12974,0.0016634,0.0016634,0.0016634
19,133.556,0.96606,1.60705,1.0475,1.1399,0.78498,0.77037,0.78831,0.59414,0.77731,0.76296,0.7572,0.49418,0.93071,2.46483,0.98817,1.16204,0.0016436,0.0016436,0.0016436
20,140.199,0.89841,1.52978,0.99114,1.0943,0.82415,0.84444,0.80467,0.59573,0.80925,0.82963,0.78625,0.56424,0.9836,2.15334,0.89749,1.21707,0.0016238,0.0016238,0.0016238
21,146.985,0.90344,1.54243,0.98521,1.10988,0.79588,0.68148,0.72348,0.50434,0.7774,0.66667,0.68306,0.44249,1.07306,2.65151,1.18621,1.30196,0.001604,0.001604,0.001604
22,153.503,0.88357,1.51099,0.99908,1.06657,0.77449,0.83954,0.82068,0.62631,0.76103,0.82565,0.78907,0.56856,0.93311,2.23498,0.9219,1.19671,0.0015842,0.0015842,0.0015842
23,160.182,0.86165,1.50161,1.09165,1.04485,0.76534,0.86667,0.80184,0.59164,0.75226,0.85185,0.77734,0.55842,0.96114,2.18827,0.86349,1.2167,0.0015644,0.0015644,0.0015644
24,166.7,0.91276,1.53042,0.96876,1.08406,0.78328,0.84444,0.80619,0.61925,0.76954,0.82963,0.78278,0.5886,0.91555,2.06299,0.84763,1.14889,0.0015446,0.0015446,0.0015446
25,173.258,0.92739,1.61228,0.99417,1.14123,0.80763,0.87407,0.83237,0.63411,0.77778,0.86667,0.81972,0.57151,0.86274,2.1821,0.84807,1.11154,0.0015248,0.0015248,0.0015248
26,179.72,0.84592,1.40608,0.89218,1.0651,0.69696,0.8518,0.76062,0.60008,0.68483,0.83698,0.74995,0.54862,0.8665,2.11921,0.91767,1.11752,0.001505,0.001505,0.001505
27,186.209,0.90372,1.53571,0.91962,1.07736,0.80175,0.80883,0.8172,0.62382,0.78706,0.79402,0.78862,0.57051,0.89722,2.12707,0.86358,1.16738,0.0014852,0.0014852,0.0014852
28,192.786,0.8695,1.5509,0.95946,1.09024,0.78476,0.87407,0.80097,0.60475,0.76832,0.85977,0.77396,0.51718,0.9278,2.34406,1.00237,1.18793,0.0014654,0.0014654,0.0014654
29,199.498,0.86884,1.46623,0.91805,1.07965,0.81012,0.87407,0.83886,0.64865,0.79639,0.85926,0.81642,0.59786,0.84983,1.96855,0.80436,1.12358,0.0014456,0.0014456,0.0014456
30,206.035,0.84723,1.49818,0.90546,1.07293,0.82221,0.81481,0.82693,0.61497,0.83716,0.82963,0.81837,0.56632,0.86502,2.11599,0.816,1.12666,0.0014258,0.0014258,0.0014258
31,212.717,0.86862,1.3923,0.8558,1.06904,0.84609,0.86667,0.82918,0.65598,0.83163,0.85185,0.80755,0.60933,0.87485,1.87583,0.81198,1.13076,0.001406,0.001406,0.001406
32,219.351,0.84403,1.40891,0.84098,1.06124,0.81508,0.86667,0.85786,0.6817,0.81508,0.86667,0.85408,0.61625,0.84313,2.07249,0.82826,1.12364,0.0013862,0.0013862,0.0013862
33,225.885,0.83887,1.52635,0.87948,1.06872,0.84458,0.80741,0.83192,0.6455,0.82133,0.78519,0.79217,0.57514,0.83831,2.21673,0.7872,1.1152,0.0013664,0.0013664,0.0013664
34,232.377,0.87107,1.49008,0.86536,1.09981,0.82546,0.80574,0.8374,0.64745,0.81787,0.79833,0.82008,0.58314,0.83393,2.10469,0.80521,1.1196,0.0013466,0.0013466,0.0013466
35,238.806,0.85938,1.48695,0.91382,1.0745,0.82275,0.82524,0.82925,0.66333,0.81546,0.81832,0.80166,0.59624,0.85331,1.93406,0.77787,1.14791,0.0013268,0.0013268,0.0013268
36,245.367,0.8298,1.40158,0.84585,1.06532,0.83159,0.84126,0.84564,0.67642,0.83159,0.84126,0.83544,0.6193,0.81428,1.86681,0.74701,1.10601,0.001307,0.001307,0.001307
37,251.723,0.7877,1.37342,0.97085,1.00652,0.86381,0.78519,0.85362,0.67671,0.86381,0.78519,0.83152,0.61962,0.77573,1.94209,0.76672,1.09396,0.0012872,0.0012872,0.0012872
38,258.286,0.8146,1.37184,0.79622,1.05912,0.77445,0.82963,0.85103,0.67035,0.77445,0.82963,0.84468,0.61547,0.81293,1.9122,0.87724,1.11167,0.0012674,0.0012674,0.0012674
39,264.671,0.81999,1.36381,0.84767,1.04289,0.76701,0.86667,0.85918,0.6755,0.77541,0.84396,0.84608,0.61452,0.82877,1.93115,0.75167,1.10699,0.0012476,0.0012476,0.0012476
40,271.297,0.8037,1.33888,0.8039,1.07554,0.81026,0.85185,0.81924,0.64773,0.79689,0.84444,0.80944,0.59502,0.81421,2.08273,0.75549,1.10946,0.0012278,0.0012278,0.0012278
